IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
104.18.58.253,443,TRUE,SJC,North America,San Jose,81 ms,15096 kB/s
104.19.11.89,443,TRUE,SJC,North America,San Jose,72 ms,12577 kB/s
104.18.62.253,443,TRUE,SJC,North America,San Jose,110 ms,11891 kB/s
104.19.89.75,443,TRUE,SJC,North America,San Jose,74 ms,9251 kB/s
104.19.62.224,443,TRUE,SJC,North America,San Jose,199 ms,9153 kB/s
104.21.11.89,443,TRUE,LHR,Europe,伦敦,,
104.21.217.93,443,TRUE,LHR,Europe,伦敦,,
104.21.70.77,443,TRUE,LHR,Europe,伦敦,,
104.21.98.177,443,TRUE,LHR,Europe,伦敦,,
172.67.133.212,443,TRUE,LHR,Europe,伦敦,,
104.22.29.208,443,TRUE,HKG,Asia Pacific,Hong Kong,,
104.18.33.102,443,TRUE,HKG,Asia Pacific,Hong Kong,,
172.67.32.237,443,TRUE,HKG,Asia Pacific,Hong Kong,,
104.17.66.103,443,TRUE,HKG,Asia Pacific,Hong Kong,,
104.17.71.58,443,TRUE,HKG,Asia Pacific,Hong Kong,,
